Country Name,Country Code,Jahr,GDP,GDP_per_Capita,Inflation,Population,Unemployment
Australia,AUS,1985,180861108959.102,11455.379711213,6.734693877551,15788312.0,
Brazil,BRA,1985,210879844638.877,1556.1297180511,225.989665211895,135515595.0,
Canada,CAN,1985,366186012449.652,14170.1249406067,3.96203054065205,25842116.0,
China,CHN,1985,310064625850.34,295.007445815897,,1051040000.0,
France,FRA,1985,547220981165.134,9657.01938533723,5.83109973854516,56665619.0,
Germany,DEU,1985,735218723093.277,9464.11694710857,2.0662330121658,77684873.0,
India,IND,1985,232511554840.372,300.928258576378,5.55642423236554,772647793.0,
Indonesia,IDN,1985,85289488375.4435,511.400883618027,4.72453518543398,166776185.0,
Italy,ITA,1985,453259761687.456,8009.10347642127,9.20599144253118,56593071.0,
Japan,JPN,1985,1427019759717.41,11809.4603450715,2.0322773460849,120837000.0,
"Korea, Rep.",KOR,1985,103764281280.89,2542.88419005153,2.45910879215274,40805744.0,
Mexico,MEX,1985,195241069482.077,2601.70825226684,57.7484484008702,75043414.0,
Russian Federation,RUS,1985,,,,143858000.0,
Saudi Arabia,SAU,1985,103897846493.65,12745.41992535,-3.05876872913659,8151779.0,
South Africa,ZAF,1985,64459376086.6883,1839.4841908184,16.2942252426421,35042093.0,
Turkiye,TUR,1985,67232758620.6897,1326.42701445307,44.9617301528779,50687115.0,
United Kingdom,GBR,1985,489285164271.047,8652.21654247593,6.07139434015119,56550268.0,
United States,USA,1985,4338979000000.0,18236.8277265009,3.54564415209365,237924000.0,
Argentina,ARG,1986,105872372613.857,3436.07819471053,,30811980.0,
Australia,AUS,1986,182707050923.335,11406.1093011037,9.05035054174634,16018350.0,
Brazil,BRA,1986,256480852471.129,1854.03775211919,147.142826237604,138336370.0,
Canada,CAN,1986,379006836991.724,14521.1800806,4.19478629085621,26100278.0,
China,CHN,1986,301310144927.536,282.445603096707,,1066790000.0,
France,FRA,1986,764946585850.933,13430.4824599685,2.53852591781417,56956002.0,
Germany,DEU,1986,1050092624515.9,13511.1520027486,-0.129413360854742,77720436.0,
India,IND,1986,248985994040.59,314.897116402542,8.72972072702581,790689978.0,
Indonesia,IDN,1986,79954072544.5279,469.834241253429,5.82266576732484,170175065.0,
Italy,ITA,1986,641862313287.44,11341.0939892903,5.82354691862017,56596155.0,
Japan,JPN,1986,2120083812109.91,17451.8349394142,0.595586799453249,121482000.0,
"Korea, Rep.",KOR,1986,119965960795.24,2910.82908054352,2.74998096063358,41213674.0,
Mexico,MEX,1986,134556034672.991,1756.93563367491,86.2333169923538,76585637.0,
Russian Federation,RUS,1986,,,,144894000.0,
Saudi Arabia,SAU,1986,86961922765.3254,10078.2896080512,-3.203331464723,8628639.0,
South Africa,ZAF,1986,73354771399.2627,2027.4662038189,18.6549230388755,36180515.0,
Turkiye,TUR,1986,75673037037.037,1461.49658654754,34.6100759738745,51777772.0,
United Kingdom,GBR,1986,601452653180.885,10611.112210096,3.42760940369314,56681396.0,
United States,USA,1986,4579631000000.0,19071.2271949295,1.89804772234276,240133000.0,
Argentina,ARG,1987,108810885301.253,3477.30131979313,,31291762.0,
Australia,AUS,1987,189726707252.515,11665.5298271811,8.53302162478083,16263874.0,
Brazil,BRA,1987,283056836893.838,2006.00226235757,228.336162575513,141104944.0,
Canada,CAN,1987,433134238310.709,16377.6902109541,4.3561087122174,26446601.0,
China,CHN,1987,273455156950.673,252.256760114454,7.23383553065609,1084035000.0,
France,FRA,1987,926320855614.973,16175.7090467566,3.28889821400133,57266167.0,
Germany,DEU,1987,1302932318824.81,16738.6132825523,0.24990610870503,77839920.0,
India,IND,1987,279033584092.223,344.941028293075,8.80112581251833,808931270.0,
Indonesia,IDN,1987,75929617557.7521,437.60655039936,9.27865406602839,173511154.0,
Italy,ITA,1987,807570134448.76,14267.5368168757,4.74728490389789,56601931.0,
Japan,JPN,1987,2580748422781.09,21141.7183951789,0.126176841696583,122069000.0,
"Korea, Rep.",KOR,1987,152240393645.506,3657.71773432329,3.04966077087423,41621690.0,
Mexico,MEX,1987,147542558208.888,1888.2631431041,131.82738392309,78136651.0,
Russian Federation,RUS,1987,,,,145908000.0,
Saudi Arabia,SAU,1987,85695861148.1976,9385.98469519899,-1.5471167369902,9130194.0,
South Africa,ZAF,1987,96535763418.3729,2586.27423314228,16.1605948546791,37326190.0,
Turkiye,TUR,1987,87190081680.28,1649.96264794402,38.8558434758408,52843670.0,
United Kingdom,GBR,1987,745162608269.325,13118.586534629,4.14892232052945,56802050.0,
United States,USA,1987,4855215000000.0,20038.9410992658,3.6645632175169,242289000.0,
Argentina,ARG,1988,126890235049.092,3992.70330179156,,31780532.0,
Australia,AUS,1988,236461079970.431,14303.093047615,7.21593968766828,16532164.0,
Brazil,BRA,1988,307881930752.268,2140.65027561164,629.114509120897,143826357.0,
Canada,CAN,1988,509380027626.554,19012.5723278349,4.02823414871611,26791747.0,
China,CHN,1988,312888888888.889,284.023573149686,18.8118179448753,1101630000.0,
France,FRA,1988,1010827662151.75,17549.6440487161,2.70081527508113,57598186.0,
Germany,DEU,1988,1406367016371.53,17996.9783507619,1.27411894006923,78144619.0,
India,IND,1988,296589670895.932,358.484539641693,9.38347186185335,827342990.0,
Indonesia,IDN,1988,84300174485.7973,476.662483405818,8.04535671530907,176855065.0,
Italy,ITA,1988,893663934840.821,15780.9495122174,5.05824747667119,56629288.0,
Japan,JPN,1988,3125724434400.79,25499.8811728107,0.678557580457558,122578000.0,
